capa_id,source,opened_date,due_date,completion_date,status,risk_level,effectiveness_result,overdue,cycle_days
CAPA-0001,Supplier,2026-08-23,2026-11-17,,Open,Low,Pending,False,21.0
CAPA-0002,Investigation,2025-10-31,2026-01-26,2025-12-15,Closed,Medium,Pending,False,45.0
CAPA-0003,Supplier,2025-12-02,2026-01-16,2026-02-20,Closed,High,Effective,False,80.0
CAPA-0004,Investigation,2026-05-29,2026-08-17,2026-06-26,Closed,Low,Effective,False,28.0
CAPA-0005,Complaint,2026-03-18,2026-06-03,2026-04-26,Closed,High,Effective,False,39.0
CAPA-0006,Complaint,2026-02-01,2026-03-31,2026-03-17,Closed,Medium,Effective,False,44.0
CAPA-0007,Audit,2026-05-21,2026-07-21,2026-07-13,Closed,High,Effective,False,53.0
CAPA-0008,Investigation,2026-07-14,2026-10-06,,Open,High,Pending,False,61.0
CAPA-0009,Complaint,2026-02-19,2026-04-12,2026-04-09,Closed,High,Effective,False,49.0
CAPA-0010,Trend,2026-08-02,2026-10-06,2026-09-09,Closed,High,Ineffective,False,38.0
CAPA-0011,Trend,2026-05-28,2026-07-18,2026-08-12,Closed,Low,Effective,False,76.0
CAPA-0012,Investigation,2025-12-22,2026-02-10,2026-02-11,Closed,Medium,Pending,False,51.0
CAPA-0013,Investigation,2026-05-13,2026-07-05,2026-08-17,Closed,Medium,Effective,False,96.0
CAPA-0014,Complaint,2026-06-21,2026-08-23,2026-08-20,Closed,Medium,Pending,False,60.0
CAPA-0015,Trend,2026-05-12,2026-08-10,2026-07-22,Closed,High,Effective,False,71.0
CAPA-0016,Investigation,2026-07-26,2026-09-20,,Open,High,Pending,False,49.0
CAPA-0017,Trend,2026-07-15,2026-09-08,,Open,Medium,Pending,True,60.0
CAPA-0018,Investigation,2026-01-23,2026-03-29,2026-02-21,Closed,Medium,Ineffective,False,29.0
CAPA-0019,Investigation,2026-09-02,2026-11-05,,Open,Medium,Pending,False,11.0
CAPA-0020,Complaint,2026-03-10,2026-05-19,2026-04-18,Closed,Medium,Effective,False,39.0
CAPA-0021,Complaint,2026-03-12,2026-06-01,2026-05-23,Closed,Medium,Pending,False,72.0
CAPA-0022,Trend,2026-07-29,2026-10-27,2026-08-18,Closed,Medium,Effective,False,20.0
CAPA-0023,Investigation,2026-03-07,2026-05-22,2026-05-24,Closed,Low,Pending,False,78.0
CAPA-0024,Investigation,2026-05-03,2026-07-01,2026-06-16,Closed,Low,Effective,False,44.0
CAPA-0025,Supplier,2026-03-23,2026-05-16,2026-04-16,Closed,Medium,Effective,False,24.0
CAPA-0026,Supplier,2025-12-25,2026-02-24,2026-02-09,Closed,Medium,Ineffective,False,46.0
CAPA-0027,Trend,2025-12-18,2026-03-14,2026-03-14,Closed,High,Effective,False,86.0
CAPA-0028,Complaint,2026-08-30,2026-11-17,,Open,Medium,Pending,False,14.0
CAPA-0029,Audit,2026-01-09,2026-03-31,2026-02-11,Closed,Low,Pending,False,33.0
CAPA-0030,Trend,2026-03-15,2026-05-11,2026-04-15,Closed,Low,Pending,False,31.0
CAPA-0031,Investigation,2025-11-11,2025-12-30,2025-12-27,Closed,Low,Effective,False,46.0
CAPA-0032,Complaint,2026-09-02,2026-11-09,,Open,High,Pending,False,11.0
CAPA-0033,Trend,2026-07-20,2026-09-13,2026-08-09,Closed,Low,Effective,False,20.0
CAPA-0034,Investigation,2025-11-30,2026-02-18,2025-12-28,Closed,Medium,Effective,False,28.0
CAPA-0035,Investigation,2026-07-25,2026-10-12,2026-09-08,Closed,High,Effective,False,45.0
CAPA-0036,Supplier,2026-07-28,2026-09-17,2026-08-18,Closed,High,Ineffective,False,21.0
