event_id,event_type,process_area,opened_date,closed_date,status,severity,root_cause_category,target_days,age_days,overdue,high_risk
QE-0001,Investigation,Risk Assessment,2026-05-21,,Open,Low,Process Design,60,115,True,False
QE-0002,Complaint,Supplier Quality,2025-09-18,2025-12-10,Closed,Medium,Training,45,83,False,False
QE-0003,Investigation,Change Management,2026-06-01,2026-06-25,Closed,Medium,Equipment,45,24,False,False
QE-0004,Complaint,CAPA,2026-04-28,2026-06-13,Closed,Medium,Data / Documentation,45,46,False,False
QE-0005,Investigation,Document Control,2025-10-24,2025-12-31,Closed,Medium,Training,45,68,False,False
QE-0006,Investigation,Change Management,2026-01-14,2026-04-04,Closed,Medium,Process Design,45,80,False,False
QE-0007,Investigation,Complaint Handling,2026-01-13,2026-02-20,Closed,Medium,Training,45,38,False,False
QE-0008,Complaint,CAPA,2026-09-09,,Open,Critical,Data / Documentation,15,4,False,True
QE-0009,Investigation,Complaint Handling,2026-06-05,,Open,High,Process Design,30,100,True,True
QE-0010,Investigation,Investigation / RCA,2026-02-21,2026-05-04,Closed,Medium,Supplier,45,72,False,False
QE-0011,Investigation,Complaint Handling,2025-09-30,2025-11-23,Closed,Medium,Supplier,45,54,False,False
QE-0012,Investigation,Change Management,2026-03-24,2026-04-08,Closed,Medium,Data / Documentation,45,15,False,False
QE-0013,Investigation,Supplier Quality,2025-11-28,2026-02-18,Closed,High,Data / Documentation,30,82,False,True
QE-0014,Complaint,CAPA,2026-05-27,,Open,Medium,Equipment,45,109,True,False
QE-0015,Complaint,CAPA,2025-11-21,2026-01-09,Closed,High,Training,30,49,False,True
QE-0016,Investigation,Risk Assessment,2026-09-09,,Open,Medium,Equipment,45,4,False,False
QE-0017,Complaint,QMS Metrics,2026-03-28,2026-06-05,Closed,Medium,Data / Documentation,45,69,False,False
QE-0018,Complaint,Change Management,2026-03-20,2026-03-28,Closed,Medium,Procedure,45,8,False,False
QE-0019,Investigation,Investigation / RCA,2026-06-13,2026-09-10,Closed,High,Procedure,30,89,False,True
QE-0020,Investigation,Document Control,2025-09-17,2025-10-25,Closed,Low,Equipment,60,38,False,False
QE-0021,Complaint,Investigation / RCA,2025-11-19,2026-01-25,Closed,Medium,Procedure,45,67,False,False
QE-0022,Investigation,Investigation / RCA,2025-10-06,2025-12-26,Closed,High,Training,30,81,False,True
QE-0023,Complaint,Document Control,2026-01-19,2026-02-28,Closed,Low,Training,60,40,False,False
QE-0024,Investigation,Change Management,2026-01-20,2026-02-22,Closed,Medium,Procedure,45,33,False,False
QE-0025,Complaint,QMS Metrics,2026-04-26,2026-06-23,Closed,Low,Training,60,58,False,False
QE-0026,Investigation,Change Management,2026-02-08,2026-04-04,Closed,High,Process Design,30,55,False,True
QE-0027,Investigation,Supplier Quality,2026-09-12,,Open,Low,Procedure,60,1,False,False
QE-0028,Investigation,Investigation / RCA,2026-01-28,2026-03-24,Closed,Critical,Equipment,15,55,False,True
QE-0029,Complaint,Investigation / RCA,2025-10-05,2025-11-23,Closed,Low,Supplier,60,49,False,False
QE-0030,Investigation,Investigation / RCA,2026-03-16,2026-03-28,Closed,Critical,Training,15,12,False,True
QE-0031,Complaint,Complaint Handling,2026-06-17,2026-07-21,Closed,High,Procedure,30,34,False,True
QE-0032,Complaint,Document Control,2026-08-28,,Open,Medium,Process Design,45,16,False,False
QE-0033,Investigation,Investigation / RCA,2026-08-30,,Open,High,Procedure,30,14,False,True
QE-0034,Complaint,Change Management,2026-06-29,2026-07-27,Closed,High,Training,30,28,False,True
QE-0035,Investigation,QMS Metrics,2025-12-31,2026-01-10,Closed,Critical,Material,15,10,False,True
QE-0036,Investigation,QMS Metrics,2026-04-29,2026-05-07,Closed,Medium,Material,45,8,False,False
QE-0037,Complaint,CAPA,2025-09-28,2025-12-05,Closed,Medium,Equipment,45,68,False,False
QE-0038,Investigation,Change Management,2026-06-01,2026-06-24,Closed,Low,Training,60,23,False,False
QE-0039,Complaint,Risk Assessment,2026-07-27,,Open,Medium,Process Design,45,48,True,False
QE-0040,Investigation,Supplier Quality,2026-07-07,,Open,Low,Process Design,60,68,True,False
QE-0041,Complaint,QMS Metrics,2026-05-20,2026-07-06,Closed,Medium,Training,45,47,False,False
QE-0042,Investigation,Document Control,2026-06-16,2026-09-11,Closed,Medium,Process Design,45,87,False,False
QE-0043,Complaint,QMS Metrics,2026-09-05,,Open,Medium,Procedure,45,8,False,False
QE-0044,Complaint,Investigation / RCA,2026-08-05,2026-08-27,Closed,Medium,Procedure,45,22,False,False
QE-0045,Complaint,Change Management,2026-03-20,2026-04-17,Closed,High,Data / Documentation,30,28,False,True
QE-0046,Investigation,Complaint Handling,2026-07-11,2026-07-20,Closed,High,Procedure,30,9,False,True
QE-0047,Investigation,Supplier Quality,2026-08-22,2026-09-05,Closed,Medium,Procedure,45,14,False,False
QE-0048,Investigation,Risk Assessment,2026-07-15,,Open,Medium,Equipment,45,60,True,False
QE-0049,Investigation,Change Management,2026-01-11,2026-03-15,Closed,Critical,Material,15,63,False,True
QE-0050,Investigation,CAPA,2026-03-06,2026-05-26,Closed,Low,Data / Documentation,60,81,False,False
QE-0051,Investigation,Complaint Handling,2026-07-17,2026-08-05,Closed,Low,Equipment,60,19,False,False
QE-0052,Complaint,Risk Assessment,2026-05-29,2026-06-16,Closed,Low,Material,60,18,False,False
QE-0053,Investigation,Complaint Handling,2026-07-11,,Open,Medium,Procedure,45,64,True,False
QE-0054,Investigation,Complaint Handling,2026-05-12,2026-07-31,Closed,Medium,Training,45,80,False,False
QE-0055,Complaint,Investigation / RCA,2025-11-30,2026-02-20,Closed,High,Training,30,82,False,True
QE-0056,Complaint,Complaint Handling,2026-07-19,2026-09-13,Closed,Medium,Procedure,45,56,False,False
QE-0057,Investigation,Change Management,2026-01-24,2026-04-23,Closed,Medium,Equipment,45,89,False,False
QE-0058,Complaint,Change Management,2026-04-24,2026-07-20,Closed,High,Training,30,87,False,True
QE-0059,Investigation,Investigation / RCA,2026-08-27,,Open,High,Data / Documentation,30,17,False,True
QE-0060,Complaint,Complaint Handling,2026-07-08,2026-09-10,Closed,Medium,Procedure,45,64,False,False
QE-0061,Complaint,Complaint Handling,2026-08-31,,Open,Medium,Procedure,45,13,False,False
QE-0062,Investigation,CAPA,2026-03-30,2026-04-14,Closed,Medium,Supplier,45,15,False,False
QE-0063,Complaint,Complaint Handling,2025-11-15,2026-02-01,Closed,Low,Procedure,60,78,False,False
QE-0064,Complaint,Supplier Quality,2025-12-10,2026-02-06,Closed,Low,Procedure,60,58,False,False
QE-0065,Investigation,Investigation / RCA,2026-04-07,2026-05-29,Closed,Critical,Training,15,52,False,True
QE-0066,Investigation,Investigation / RCA,2026-09-09,,Open,Medium,Data / Documentation,45,4,False,False
QE-0067,Complaint,CAPA,2026-05-29,2026-07-13,Closed,Medium,Data / Documentation,45,45,False,False
QE-0068,Complaint,CAPA,2026-06-30,2026-07-14,Closed,High,Data / Documentation,30,14,False,True
QE-0069,Investigation,Complaint Handling,2025-11-03,2025-12-11,Closed,Medium,Procedure,45,38,False,False
QE-0070,Investigation,Complaint Handling,2026-06-18,,Open,Critical,Procedure,15,87,True,True
QE-0071,Investigation,Document Control,2026-08-10,,Open,High,Equipment,30,34,True,True
QE-0072,Complaint,Complaint Handling,2026-04-18,2026-07-04,Closed,Medium,Process Design,45,77,False,False
QE-0073,Complaint,Change Management,2026-07-02,,Open,Medium,Process Design,45,73,True,False
QE-0074,Complaint,Change Management,2026-08-14,2026-09-08,Closed,Critical,Process Design,15,25,False,True
QE-0075,Complaint,CAPA,2026-08-10,2026-08-22,Closed,High,Equipment,30,12,False,True
