opened_month,root_cause_category,event_count
2025-09,Data / Documentation,1
2025-09,Material,1
2025-09,Procedure,3
2025-09,Process Design,1
2025-09,Training,1
2025-10,Data / Documentation,2
2025-10,Equipment,4
2025-10,Material,1
2025-10,Procedure,1
2025-10,Supplier,4
2025-10,Training,1
2025-11,Data / Documentation,1
2025-11,Equipment,1
2025-11,Procedure,2
2025-11,Process Design,2
2025-11,Supplier,3
2025-11,Training,3
2025-12,Data / Documentation,1
2025-12,Equipment,2
2025-12,Procedure,3
2025-12,Process Design,2
2025-12,Training,3
2026-01,Data / Documentation,1
2026-01,Equipment,1
2026-01,Procedure,2
2026-01,Process Design,3
2026-01,Training,3
2026-02,Data / Documentation,3
2026-02,Equipment,2
2026-02,Procedure,4
2026-02,Process Design,4
2026-02,Training,2
2026-03,Equipment,2
2026-03,Material,2
2026-03,Procedure,1
2026-03,Process Design,1
2026-03,Supplier,3
2026-03,Training,3
2026-04,Data / Documentation,3
2026-04,Material,1
2026-04,Procedure,4
2026-04,Process Design,2
2026-04,Training,3
2026-05,Equipment,1
2026-05,Material,2
2026-05,Procedure,2
2026-05,Process Design,2
2026-05,Supplier,1
2026-05,Training,7
2026-06,Data / Documentation,2
2026-06,Procedure,4
2026-06,Process Design,2
2026-06,Supplier,1
2026-06,Training,1
2026-07,Data / Documentation,7
2026-07,Equipment,2
2026-07,Material,2
2026-07,Procedure,4
2026-07,Process Design,3
2026-07,Supplier,1
2026-07,Training,5
2026-08,Data / Documentation,2
2026-08,Equipment,5
2026-08,Material,2
2026-08,Procedure,6
2026-08,Process Design,5
2026-08,Supplier,4
2026-08,Training,1
2026-09,Data / Documentation,3
2026-09,Equipment,2
2026-09,Procedure,4
2026-09,Supplier,1
2026-09,Training,3
